order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Order text
1,259,4,01-01-2016,03-01-2016,03-01-2016,1,2,deliverd
2,1212,4,01-01-2016,04-01-2016,03-01-2016,2,6,deliverd
3,523,4,02-01-2016,05-01-2016,03-01-2016,2,7,deliverd
4,175,4,03-01-2016,04-01-2016,05-01-2016,1,3,deliverd
5,1324,4,03-01-2016,06-01-2016,06-01-2016,2,6,deliverd
6,94,4,04-01-2016,07-01-2016,05-01-2016,2,6,deliverd
7,324,4,04-01-2016,07-01-2016,05-01-2016,2,6,deliverd
8,1204,4,04-01-2016,05-01-2016,05-01-2016,2,7,deliverd
9,60,4,05-01-2016,08-01-2016,08-01-2016,1,2,deliverd
10,442,4,05-01-2016,06-01-2016,06-01-2016,2,6,deliverd
11,1326,4,05-01-2016,08-01-2016,07-01-2016,2,7,deliverd
12,91,4,06-01-2016,08-01-2016,09-01-2016,1,2,deliverd
13,873,4,08-01-2016,11-01-2016,11-01-2016,2,6,deliverd
14,258,4,09-01-2016,11-01-2016,12-01-2016,1,3,deliverd
15,450,4,09-01-2016,10-01-2016,12-01-2016,2,7,deliverd
16,552,4,12-01-2016,15-01-2016,15-01-2016,1,3,deliverd
17,1175,4,12-01-2016,14-01-2016,14-01-2016,1,3,deliverd
18,541,4,14-01-2016,17-01-2016,15-01-2016,1,3,deliverd
19,696,4,14-01-2016,17-01-2016,16-01-2016,1,2,deliverd
20,923,4,14-01-2016,16-01-2016,17-01-2016,1,2,deliverd
21,1250,4,15-01-2016,16-01-2016,18-01-2016,2,6,deliverd
22,1035,4,16-01-2016,18-01-2016,17-01-2016,1,2,deliverd
23,1149,4,16-01-2016,19-01-2016,19-01-2016,1,2,deliverd
24,636,4,18-01-2016,20-01-2016,19-01-2016,2,7,deliverd
25,657,4,18-01-2016,21-01-2016,21-01-2016,2,6,deliverd
26,1280,4,18-01-2016,21-01-2016,19-01-2016,2,7,deliverd
27,57,4,19-01-2016,21-01-2016,20-01-2016,2,7,deliverd
28,252,4,19-01-2016,20-01-2016,21-01-2016,2,6,deliverd
29,437,4,20-01-2016,22-01-2016,21-01-2016,2,6,deliverd
30,1348,4,20-01-2016,21-01-2016,21-01-2016,2,6,deliverd
31,1238,4,20-01-2016,22-01-2016,22-01-2016,3,8,deliverd
32,1259,4,21-01-2016,24-01-2016,22-01-2016,1,3,deliverd
33,236,4,21-01-2016,22-01-2016,22-01-2016,2,6,deliverd
34,80,4,22-01-2016,25-01-2016,23-01-2016,2,6,deliverd
